,Unnamed: 0,stn,year,mo,da,temp,max,min
157,157,702190,1945,8,18,54.2,63.3,43.3
158,158,702190,1945,8,19,53.9,66.4,42.4
159,159,702190,1945,9,8,45.8,53.4,40.3
160,160,702190,1945,9,10,43.9,52.3,39.4
161,161,702190,1945,9,24,46.4,54.3,40.3
162,162,702190,1945,9,25,45.2,56.3,38.3
163,163,702190,1945,9,29,44.4,54.3,37.4
164,164,702190,1945,10,2,44.1,52.3,37.4
165,165,702190,1945,10,6,36.8,42.4,31.3
166,166,702190,1945,10,7,36.7,46.4,30.4
167,167,702190,1945,10,10,30.7,37.4,22.5
168,168,702190,1945,10,12,26.2,33.4,21.4
169,169,702190,1945,10,13,26.9,35.4,20.3
170,170,702190,1945,10,21,23.8,31.3,19.4
171,171,702190,1945,10,22,23.8,31.3,18.3
172,172,702190,1945,10,24,19.0,29.3,12.4
173,173,702190,1945,10,25,16.6,28.4,6.4
174,174,702190,1945,11,13,3.8,6.4,2.5
175,175,702190,1945,11,14,5.2,8.4,2.5
176,176,702190,1945,11,15,0.9,7.3,-1.7
177,177,702190,1945,11,16,-2.7,1.4,-4.5
178,178,702190,1945,11,17,-3.2,-0.6,-4.5
179,179,702190,1945,11,18,-3.5,0.3,-5.6
180,180,702190,1945,11,19,-2.8,2.5,-4.5
181,181,702190,1945,11,24,-7.7,-0.6,-12.6
182,182,702190,1945,11,25,-7.0,-5.6,-7.6
183,183,702190,1945,11,26,-13.5,-5.6,-19.7
184,184,702190,1945,11,27,-13.9,-9.6,-16.6
185,185,702190,1945,11,28,-12.5,-8.7,-15.5
186,186,702190,1945,11,29,-14.8,-8.7,-19.7
187,187,702190,1945,11,30,-21.8,-16.6,-25.6
188,188,702190,1945,12,2,-14.3,-7.6,-19.7
189,189,702190,1945,12,3,-6.1,1.4,-18.6
190,190,702190,1945,12,9,-7.6,-2.6,-10.7
191,191,702190,1945,12,19,23.9,32.4,20.3
192,192,702190,1945,12,22,19.8,29.3,12.4
193,193,702190,1945,12,23,2.1,12.4,-2.6
194,194,702190,1945,12,24,-3.6,-0.6,-5.6
195,195,702190,1945,12,29,-18.3,-14.6,-21.6
196,196,702190,1945,12,30,-17.6,-6.5,-22.5
197,197,702190,1945,4,10,31.5,35.4,29.3
198,198,702190,1945,10,31,18.9,29.3,10.4
199,199,702190,1945,1,8,19.1,31.3,8.4
200,200,702190,1945,1,23,29.3,32.4,26.4
201,201,702190,1945,2,18,28.7,35.4,24.4
202,202,702190,1945,3,26,22.4,26.4,12.4
203,203,702190,1945,4,9,28.9,34.3,26.4
204,204,702190,1945,11,1,14.2,21.4,8.4
205,205,702190,1945,11,21,16.6,29.3,5.4
206,206,702190,1945,11,23,0.8,13.5,-5.6
207,207,702190,1945,12,13,12.9,17.4,10.4
208,208,702190,1945,12,14,14.9,18.3,10.4
209,209,702190,1945,12,28,-11.8,-5.6,-16.6
210,210,702190,1945,4,15,20.7,26.4,16.3
211,211,702190,1945,6,13,49.2,60.3,41.4
212,212,702190,1945,6,17,57.3,72.3,43.3
213,213,702190,1945,7,22,52.2,56.3,48.4
214,214,702190,1945,8,20,55.0,65.3,45.3
215,215,702190,1945,10,15,20.9,30.4,8.4
216,216,702190,1945,3,1,35.1,38.3,32.4
217,217,702190,1945,3,2,34.9,39.4,32.4
218,218,702190,1945,3,4,29.7,36.3,22.5
219,219,702190,1945,8,15,47.6,51.3,41.4
220,220,702190,1945,10,11,28.4,36.3,22.5
