date,wban,stn,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,usaf,name,country,state,call,lat,lon,elev,begin,end,point_gis,fake_date
1950-01-01,99999,784570,1950,01,01,72.5,8,64.1,8,1019,8,9999.9,0,8.7,8,6.8,8,8.9,999.9,75,,66.9,,0.87,C,999.9,0,0,0,0,0,0,784570,GREGORIO LUPERON INTL,DR,,MDPP,19.758,-70.57,+0004.6,19440101,20190831,POINT(-70.57 19.758),2000-01-01
1950-01-01,99999,107910,1950,01,01,17.9,8,3.5,8,9999.9,0,975.1,8,43.5,8,9.4,8,13.0,999.9,23,,10,,0,I,999.9,0,0,0,0,0,0,107910,GROSSER ARBER (MTN)          ,GM,,,49.117,13.133,+1307.0,19490101,20030816,POINT(13.133 49.117),2000-01-01
1950-01-01,99999,270510,1950,01,01,-8.5,4,-13.5,4,1016.3,4,9999.9,0,4.3,4,13.0,4,15.9,999.9,-8,,-11,,0.04,F,999.9,0,0,1,0,0,0,270510,TOTMA,RS,,ULWT,59.967,42.767,+0134.0,19361231,20190831,POINT(42.767 59.967),2000-01-01
1950-01-01,99999,942940,1950,01,01,83.7,7,73.3,7,9999.9,0,9999.9,0,11.8,7,8.6,7,18.1,999.9,91.9,,73,,0,I,999.9,0,0,0,0,0,0,942940,TOWNSVILLE,AS,,YBTL,-19.253,146.765,+0005.5,19470101,20190831,POINT(146.765 -19.253),2000-01-01
1950-01-01,99999,942945,1950,01,01,83.7,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,8.6,7,18.1,999.9,90.3,*,75.9,*,0,I,999.9,0,0,0,0,0,0,942945,TOWNSVILLE(CIV/MIL)          ,AS,,,-19.25,146.767,+0006.0,19390407,19940824,POINT(146.767 -19.25),2000-01-01
1950-01-01,99999,296340,1950,01,01,-16.2,4,-29.2,4,1027.5,4,9999.9,0,0.1,4,1.0,4,4.1,999.9,-15,*,-18,*,0,I,999.9,1,0,0,0,0,0,296340,TOLMACHEVO,RS,,UNNT,55.013,82.651,+0111.3,19320101,20190831,POINT(82.651 55.013),2000-01-01
1950-01-01,99999,294300,1950,01,01,-28,4,-38.2,4,1025.3,4,9999.9,0,0.7,4,8.4,4,9.9,999.9,-24,*,-35,,0,I,999.9,1,0,0,0,0,0,294300,TOMSK,RS,,,56.5,84.917,+0139.0,19320101,20190831,POINT(84.917 56.5),2000-01-01
1950-01-01,99999,763820,1950,01,01,56.4,6,52,6,1019.8,6,9999.9,0,4.2,6,1.0,6,4.1,999.9,66,,50,,0,I,999.9,0,0,0,0,0,0,763820,TORREON INTL,MX,,MMTC,25.568,-103.411,+1124.1,19490101,20190831,POINT(-103.411 25.568),2000-01-01
1950-01-01,99999,370310,1950,01,01,18.8,4,15.5,4,1014.9,4,9999.9,0,5.4,4,18.3,4,28.9,999.9,37,,12,*,0.12,E,999.9,0,0,1,0,0,0,370310,ARMAVIR,RS,,,44.983,41.117,+0159.0,19320101,20190831,POINT(41.117 44.983),2000-01-01
1950-01-01,99999,076500,1950,01,01,43.2,4,9999.9,0,1020,4,9999.9,0,5.6,4,1.0,4,1.9,999.9,48,*,36,*,0,I,999.9,0,0,0,0,0,0,076500,PROVENCE,FR,,LFML,43.436,5.214,+0022.6,19310101,20190831,POINT(5.214 43.436),2000-01-01
1950-01-01,99999,306730,1950,01,01,-37.2,5,-41.5,4,1026.4,4,9999.9,0,13,5,0.0,5,999.9,999.9,-24,,-45,*,0,I,999.9,1,0,0,0,0,0,306730,MOGOCHA,RS,,,53.75,119.733,+0625.0,19480101,20190831,POINT(119.733 53.75),2000-01-01
